author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Capital Group;developer;https://www.cian.ru/sale/flat/313575293/;Москва;sale;flat;11;18;5;221.0;278106400;Дорогомилово;;;Москва-Сити;Бадаевский ЖК
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/311115791/;Москва;sale;flat;20;20;5;184.08;95445480;Даниловский;Автозаводская ;26/1;Тульская;FORST
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/315695273/;Москва;sale;flat;10;10;5;250.0;155000000;Тверской;Весковский переулок;2;Новослободская;
Стадион Спартак;developer;https://www.cian.ru/sale/flat/303364597/;Москва;sale;flat;13;13;5;180.2;133041660;Покровское-Стрешнево;Вивальди кв-л;;Спартак;Клубный Город на Реке Примавера ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/313997084/;Москва;sale;flat;11;12;5;303.0;522500000;Хамовники;Трубецкая ;12;Фрунзенская;Садовые кварталы
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/314553642/;Москва;sale;flat;4;4;5;159.5;115459560;Тверской;Тверская ;6С6;Охотный ряд;
Sminex;developer;https://www.cian.ru/sale/flat/313246225/;Москва;sale;flat;6;6;5;375.8;1545190000;Басманный;Потаповский переулок;5С4;Чистые пруды;Исторический дом 
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/269136663/;Москва;sale;flat;11;12;5;303.0;522500000;Хамовники;Трубецкая ;12;Фрунзенская;Садовые кварталы
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/313968624/;Москва;sale;flat;4;8;5;125.0;119000000;Тверской;Тверская ;8к1;Тверская;
VESPER;developer;https://www.cian.ru/sale/flat/310832812/;Москва;sale;flat;19;21;5;300.4;545138460;Пресненский;2-я Звенигородская ;14;Улица 1905 года;Lucky
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306077176/;Москва;sale;flat;2;12;5;290.0;280000000;Раменки; Улофа Пальме;7;Минская;Lake House
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/314447019/;Москва;sale;flat;3;17;5;130.0;36900000;Черемушки; Наметкина;9К1;Новые Черёмушки;
СТ Тауэрс;developer;https://www.cian.ru/sale/flat/302833904/;Москва;sale;flat;66;66;5;593.3;958179500;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306522821/;Москва;sale;flat;4;6;5;242.7;588028000;Хамовники;переулок Хилков;5;Парк Культуры;Особняк в Хилковом переулке
Триумфальная Арка;real_estate_agent;https://www.cian.ru/sale/flat/308888721/;Москва;sale;flat;5;5;5;90.0;24100000;Сокольники;Колодезная ;7К2;Преображенская площадь;
Sminex;developer;https://www.cian.ru/sale/flat/313910460/;Москва;sale;flat;5;5;5;427.9;1648430000;Тверской;;;Площадь Революции;Ильинка 3/8 ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/313285361/;Москва;sale;flat;7;12;5;350.0;350000000;Раменки; Сергея Бондарчука;6;Мичуринский проспект;Река
Enkelman Development;real_estate_agent;https://www.cian.ru/sale/flat/307914949/;Москва;sale;flat;3;4;5;104.5;41000000;Тверской;Селезневская ;13С1;Достоевская;
MR Group;developer;https://www.cian.ru/sale/flat/315241805/;Москва;sale;flat;7;17;5;63.01;30427529;Алексеевский;;;Улица Сергея Эйзенштейна;Мира ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/314216535/;Москва;sale;flat;37;37;5;187.2;175000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
ГЦН;real_estate_agent;https://www.cian.ru/sale/flat/314739769/;Москва;sale;flat;17;17;5;200.0;85000000;Гагаринский;Ломоносовский проспект;14;Университет;
Level Group;developer;https://www.cian.ru/sale/flat/315652749/;Москва;sale;flat;33;45;5;95.0;41482654;Даниловский;;;Серпуховская;Павелецкая Сити
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/316007862/;Москва;sale;flat;4;9;5;186.0;279000000;Хамовники;Саввинская набережная;13;Киевская;SAVVIN RIVER RESIDENCE
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/310401850/;Москва;sale;flat;15;27;5;254.0;149000000;Хорошево-Мневники;Карамышевская набережная;56К1;Бульвар Генерала Карбышева;
ГК Сумма Элементов;developer;https://www.cian.ru/sale/flat/315695887/;Москва;sale;flat;58;85;5;226.06;181571402;Пресненский;Московский международный деловой центр Москва-Сити тер.;;Москва-Сити;Дом Дау
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307939748/;Москва;sale;flat;5;9;5;206.0;260000000;Хамовники;7-й Ростовский переулок;15;Киевская;
Октябрьская;real_estate_agent;https://www.cian.ru/sale/flat/312134478/;Москва;sale;flat;4;5;5;98.2;25500000;Сокольники; Матросская Тишина;23/7к1;Сокольники;
Sminex;developer;https://www.cian.ru/sale/flat/316042589/;Москва;sale;flat;7;8;5;471.1;2338460000;Якиманка;;;Полянка;Лаврушинский ЖК
Tekta Group;developer;https://www.cian.ru/sale/flat/315468690/;Москва;sale;flat;28;28;5;103.0;45629000;Нагорный;;;Нагорная;Твелв ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/315552484/;Москва;sale;flat;48;56;5;165.0;87000000;Раменки;проспект Генерала Дорохова;49к2;Аминьевская;Will Towers
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/313993536/;Москва;sale;flat;3;12;5;238.2;298000000;Раменки;Мосфильмовская ;1к3;Ломоносовский проспект;Вишневый сад
Киноцентр;developer;https://www.cian.ru/sale/flat/305452443/;Москва;sale;flat;18;20;5;265.7;298912500;Пресненский;Дружинниковская ;15;Краснопресненская;SkyView
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/310771897/;Москва;sale;flat;2;13;5;186.5;300000000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Sminex;developer;https://www.cian.ru/sale/flat/306341796/;Москва;sale;flat;4;13;5;184.2;490240000;Хамовники;Фрунзенская набережная;30;Фрунзенская;Клубный город-парк 
Verges of estate;real_estate_agent;https://www.cian.ru/sale/flat/313546041/;Москва;sale;flat;5;10;5;208.5;248000000;Раменки; Сергея Бондарчука;6;Мичуринский проспект;Река
Regions Development;developer;https://www.cian.ru/sale/flat/315160359/;Москва;sale;flat;18;24;5;159.9;;Нагатинский затон;;;Технопарк;Дрим Тауэрс ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/310552984/;Москва;sale;flat;4;6;5;204.0;149000000;Фасадный дом в е Арбата5-комн. квартира;204 м²;4/6 этаж;;
Донстрой;developer;https://www.cian.ru/sale/flat/315423199/;Москва;sale;flat;14;19;5;224.5;300156500;Замоскворечье;Большая Татарская ;;Новокузнецкая;Татарская 35
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/315441002/;Москва;sale;flat;7;7;5;300.0;1260060000;Пресненский;Малый Козихинский переулок;7;Пушкинская;
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/312359390/;Москва;sale;flat;3;12;5;200.0;170000000;Раменки; Сергея Бондарчука;4;Мичуринский проспект;Река
Hutton Development;developer;https://www.cian.ru/sale/flat/312982797/;Москва;sale;flat;3;6;5;236.7;563346000;Якиманка;Софийская набережная;34С3;Новокузнецкая;Клубный дом DUO
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/314147137/;Москва;sale;flat;3;12;5;283.0;241000000;Раменки; Сергея Бондарчука;4;Мичуринский проспект;Река
КОРТРОС;developer;https://www.cian.ru/sale/flat/307731200/;Москва;sale;flat;40;49;5;206.56;206560000;Марьина роща;;;Марьина Роща;Тэйт ЖК
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/304672058/;Москва;sale;flat;5;12;5;218.0;248000000;Раменки; Сергея Бондарчука;6;Мичуринский проспект;Река
ГК Сумма Элементов;developer;https://www.cian.ru/sale/flat/315695812/;Москва;sale;flat;50;85;5;218.51;174761902;Пресненский;Московский международный деловой центр Москва-Сити тер.;;Москва-Сити;Дом Дау
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/309856260/;Москва;sale;flat;5;12;5;289.0;288648900;Раменки; Сергея Бондарчука;6;Мичуринский проспект;Река
Донстрой;developer;https://www.cian.ru/sale/flat/310846336/;Москва;sale;flat;4;16;5;183.4;150461360;Раменки; Сергея Бондарчука;2;Мичуринский проспект;Река
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/294781842/;Москва;sale;flat;7;12;5;350.0;350000000;Раменки; Сергея Бондарчука;6;Мичуринский проспект;Река
Capital Group;developer;https://www.cian.ru/sale/flat/297314514/;Москва;sale;flat;59;67;5;163.3;165259600;Пресненский;Краснопресненская набережная;14Ак3;Москва-Сити;Capital Towers
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/310589725/;Москва;sale;flat;3;12;5;250.0;350000000;Раменки; Сергея Бондарчука;6;Мичуринский проспект;Река
Sminex;developer;https://www.cian.ru/sale/flat/315037020/;Москва;sale;flat;14;14;5;180.3;151920000;Раменки;проспект Генерала Дорохова;39к2Г;Ломоносовский проспект;Собрание клубных домов West Garden
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/313904310/;Москва;sale;flat;4;11;5;182.0;123600000;Таганский;Наставнический переулок;3;Чкаловская;Royal House on Yauza
Sense Development;developer;https://www.cian.ru/sale/flat/310579417/;Москва;sale;flat;6;9;5;279.6;651468000;Мещанский;Малая Сухаревская площадь;;Сухаревская;PHANTOM
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307581914/;Москва;sale;flat;12;22;5;183.2;139500000;Раменки;Мичуринский проспект;34;Раменки;
Абсолют Банк;real_estate_agent;https://www.cian.ru/sale/flat/287232311/;Москва;sale;flat;4;5;5;89.2;6767000;;;;;
Донстрой;developer;https://www.cian.ru/sale/flat/315423196/;Москва;sale;flat;15;20;5;320.5;874324000;Замоскворечье;Большая Татарская ;;Новокузнецкая;Татарская 35
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/316163896/;Москва;sale;flat;4;6;5;122.8;130000000;Пресненский;Малая Бронная ;32;Пушкинская;
Sminex;developer;https://www.cian.ru/sale/flat/316042532/;Москва;sale;flat;13;14;5;236.0;388230000;Пресненский;;;Белорусская;Тишинский Бульвар ЖК
Октава-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303921511/;Москва;sale;flat;2;8;5;110.0;41300000;Красносельский;Садовая-Спасская ;19/1;Красные ворота;
STONE;developer;https://www.cian.ru/sale/flat/315059945/;Москва;sale;flat;19;24;5;116.0;53012000;Сокольники; Гастелло;;Сокольники;STONE Sokolniki
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/314437617/;Москва;sale;flat;6;12;5;116.0;76000000;Хамовники;Ростовская набережная;5;Киевская;
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/311523729/;Москва;sale;flat;19;19;5;121.8;73080000;Щукино;;;Октябрьское поле;Театральный Квартал ЖК
Александр Шевченко;realtor;https://www.cian.ru/sale/flat/315028404/;Москва;sale;flat;3;4;5;227.5;239000000;Басманный; Покровка;19;Чистые пруды;
ID 129548812;developer;https://www.cian.ru/sale/flat/315968705/;Москва;sale;flat;20;20;5;147.74;96168398;Хорошево-Мневники; Берзарина;37;Серебряный Бор;Квартал Серебряный Бор
FS PROPERTY;real_estate_agent;https://www.cian.ru/sale/flat/315055503/;Москва;sale;flat;4;4;5;205.5;155000000;Гагаринский;Андреевская набережная;1;Воробьёвы горы;
Level Group;developer;https://www.cian.ru/sale/flat/316036041/;Москва;sale;flat;1;17;5;155.7;;Басманный;Большая Почтовая ;;Электрозаводская;Level Бауманская
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/313806722/;Москва;sale;flat;5;5;5;223.0;126006000;Мещанский;Варсонофьевский переулок;6;Кузнецкий мост;
Донстрой;developer;https://www.cian.ru/sale/flat/313127622/;Москва;sale;flat;4;10;5;180.1;192887100;Раменки; Сергея Бондарчука;2;Мичуринский проспект;Река
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/312720596/;Москва;sale;flat;6;6;5;196.0;123900000;Семейная кв-ра в е Тверской5-комн. квартира;196 м²;6/6 этаж;;
ANT Development;developer;https://www.cian.ru/sale/flat/314894326/;Москва;sale;flat;12;13;5;266.6;533200000;Дорогомилово;;3к1;Парк Победы;Виктори Парк Резиденсез ЖК
ID 96066331;homeowner;https://www.cian.ru/sale/flat/314566941/;Москва;sale;flat;5;12;5;135.0;46575000;Академический; Кедрова;21к2;Академическая;
Донстрой;developer;https://www.cian.ru/sale/flat/316119637/;Москва;sale;flat;20;21;5;190.4;;Хорошево-Мневники;Жилой комплекс остров;;Мнёвники;Остров
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/315858569/;Москва;sale;flat;37;41;5;187.0;175000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
ID 51317713;unknown;https://www.cian.ru/sale/flat/315778525/;Москва;sale;flat;20;28;5;142.0;80000000;Филевский парк;Береговой проезд;1Б;Фили;мой адрес На Береговом
