author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/307211222/;Москва;sale;flat;8;9;1;57.6;136216080;Тверской;1-я Тверская-Ямская ;2А;Маяковская;Vesper Tverskaya
ID 59222976;unknown;https://www.cian.ru/sale/flat/315938842/;Москва;sale;flat;10;14;1;37.0;15000000;Останкинский;проспект Мира;95;Алексеевская;Hill8
Стадион Спартак;developer;https://www.cian.ru/sale/flat/309288316/;Москва;sale;flat;2;13;1;41.0;23271600;Покровское-Стрешнево;;;Спартак;Клубный Город на Реке Примавера ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/309525051/;Москва;sale;flat;2;40;1;40.2;32500000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
VESPER;developer;https://www.cian.ru/sale/flat/306541564/;Москва;sale;flat;18;21;1;65.5;108320625;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/313640113/;Москва;sale;flat;6;41;1;40.1;35500000;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
Пионер;developer;https://www.cian.ru/sale/flat/314018977/;Москва;sale;flat;2;18;1;46.1;38240014;Донской;м. Ленинский проспект;;Ленинский проспект;Шифт ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/315253252/;Москва;sale;flat;71;79;1;79.0;75000000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
Tekta Group;developer;https://www.cian.ru/sale/flat/313048031/;Москва;sale;flat;7;27;1;28.1;19917733;Даниловский;;1;Крестьянская застава;Эра ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/315978983/;Москва;sale;flat;3;21;1;70.7;85000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Sminex;developer;https://www.cian.ru/sale/flat/306155439/;Москва;sale;flat;2;23;1;56.0;64950000;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
Life Style;real_estate_agent;https://www.cian.ru/sale/flat/312717273/;Москва;sale;flat;35;35;1;42.0;23500000;Пресненский;Шмитовский проезд;39к8;Москва-Сити;Headliner
Sminex;developer;https://www.cian.ru/sale/flat/315385451/;Москва;sale;flat;3;7;1;55.7;76450000;Пресненский;;;Белорусская;Тишинский Бульвар ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/315263849/;Москва;sale;flat;11;12;1;61.3;42900000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
Компания PIONEER;developer;https://www.cian.ru/sale/flat/315816606/;Москва;sale;flat;4;11;1;55.8;;Даниловский;Дербеневская ;1С5;Павелецкая;"Клубный дом ""OPUS"""
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/314942979/;Москва;sale;flat;14;27;1;46.4;21000000;Лефортово; Крузенштерна;7;Авиамоторная;Символ
Главстрой;developer;https://www.cian.ru/sale/flat/311240310/;Москва;sale;flat;2;26;1;44.1;23250887;Филевский парк;Береговой проезд;2;Фили;Береговой-2
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/315443321/;Москва;sale;flat;5;6;1;29.0;37000000;Хамовники;Зубовская ;7;Парк Культуры;Roza Rossa
Capital Group;developer;https://www.cian.ru/sale/flat/313949705/;Москва;sale;flat;12;18;1;53.4;68243688;Дорогомилово;;;Москва-Сити;Бадаевский ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/315056316/;Москва;sale;flat;6;23;1;43.7;27000000;Хорошево-Мневники; Нижние Мневники;16к1;Терехово ;Остров
Пионер;developer;https://www.cian.ru/sale/flat/314720660/;Москва;sale;flat;3;26;1;23.9;;Даниловский;;;Павелецкая;Хай Лайф ЖК
ID 12717947;homeowner;https://www.cian.ru/sale/flat/312521270/;Москва;sale;flat;2;14;1;42.2;19800000;Даниловский; Родченко;2;ЗИЛ;ЗИЛАРТ
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/314440071/;Москва;sale;flat;4;8;1;48.3;46854400;Замоскворечье;Шлюзовая набережная;2/1С1;Павелецкая;Монблан
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/313238406/;Москва;sale;flat;14;15;1;40.1;24400000;Даниловский; Архитектора Щусева;2к3;ЗИЛ;ЗИЛАРТ
Sminex;developer;https://www.cian.ru/sale/flat/313246212/;Москва;sale;flat;3;6;1;78.7;193940000;Басманный;Потаповский переулок;5С4;Чистые пруды;Исторический дом 
